sub_industry,Industry,sector,sic_code,sic_description
Clean Technology,Clean Technology,Utilities & Energy,74901,Environmental consulting activities
Cleaning Leather Goods,Commercial Cleaning Services,Professional Services,95230,Repair of footwear and leather goods
Gums & Chewies & Confectionery,Confectionery,Manufacturing & Industrials,10822,Manufacture of sugar confectionery
Cleaning Services,Commercial Cleaning Services,Professional Services,81210,General cleaning of buildings
Cleantech,Clean Technology,Utilities & Energy,74901,Environmental consulting activities
Clearing & Forwarding,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities
Click Fraud Prevention,Information Technology (IT),Information Technology,62090,Other information technology service activities
Client Communication,Business Support Services,Professional Services,70210,Public relations and communications activities
Climate Change Policy,Environmental Engineering & Services,Professional Services,84130,Regulation of and contribution to more efficient operation of businesses
Climate Control,Environmental Engineering & Services,Professional Services,74901,Environmental consulting activities
Cling Film,Packaging & Paper Products,Manufacturing & Industrials,22220,Manufacture of plastic packing goods
Clinical Pathology,Laboratory Services,Healthcare,86900,Other human health activities
Clinical Research,Research & Development Services,Pharmaceuticals & Biotechnology,72110,Research and experimental development on biotechnology
Clinical Support,Health Care Providers & Services,Healthcare,86900,Other human health activities
Clinical Trials,Research & Development Services,Pharmaceuticals & Biotechnology,72110,Research and experimental development on biotechnology
Clinical Waste Management,Recycling & Waste Management,Healthcare,38120,Collection of hazardous waste
Clinics,Health Care Providers & Services,Healthcare,86210,General medical practice activities
Clock Repair Service,Specialized Consumer Services,Consumer Goods & Services,95250,"Repair of watches, clocks and jewellery"
Clocks & Watches - Manufacturers & Wholesalers,Jewelry,Consumer Goods & Services,26520,Manufacture of watches and clocks
Clothing,Apparel,Consumer Goods & Services,46420,Wholesale of clothing and footwear
Clothing & Fabrics - Importers & Exporters,Import/Export,Manufacturing & Industrials,46410,Wholesale of textiles
Clothing & Fabrics Manufacturers,"Textiles, Apparel & Luxury Goods",Consumer Goods & Services,14190,Manufacture of other wearing apparel and accessories n.e.c.
Clothing Accessory Manufacturers,Apparel,Manufacturing & Industrials,14190,Manufacture of other wearing apparel and accessories n.e.c.
Clothing Repairs & Alteration Service,Apparel,Consumer Goods & Services,95290,Repair of personal and household goods n.e.c.
Cloud Kitchen,"Hotels, Restaurants & Leisure",Hospitality,56103,Take-away food shops and mobile food stands
Club & Event DJs,Entertainment Services,"Media, Publishing & Entertainment",90010,Performing arts
Clubs & Associations,Civic & Social Organizations,Public Sector & Government,94990,Activities of other membership organisations n.e.c.
CNC Machining Services,Machinery & Manufacturing Services,Manufacturing & Industrials,25620,Machining
Coach Hire,Logistics & Transportation,Transportation & Logistics,49390,Other passenger land transport
Coach Holidays,Travel & Leisure,Hospitality,79120,Tour operator activities
Coaching and Mentoring,Education Services,Professional Services,70229,Management consultancy activities other than financial management
Coal & Smokeless Fuel Merchants & Distributors,Fuel & Energy,Utilities & Energy,46719,Wholesale of other fuels and related products
Coal Mining,"Oil, Gas & Consumable Fuels",Utilities & Energy,05102,Open cast coal working
Coat Hangers,Home Goods,Consumer Goods & Services,32990,Other manufacturing n.e.c.
Coating & Painting Inspection,Product Development & Quality Control,Manufacturing & Industrials,71200,Technical testing and analysis
Coating Specialists,Construction & Engineering,Construction & Materials,43390,Other building completion and finishing
Cocktail Bartending,"Pubs, Bars & Inns",Hospitality,56302,Public houses and bars
Coffee & Coffee Equipment,Food Retail,Consumer Goods & Services,46370,"Wholesale of coffee, tea, cocoa and spices"
Coffee Blending,Beverage Distribution,Consumer Goods & Services,10832,Production of coffee and coffee substitutes
Coffee Brewing Equipment & Supplies,Food Retail,Consumer Goods & Services,46690,Wholesale of other machinery and equipment
Coffee Roasters,Beverage Distribution,Consumer Goods & Services,10832,Production of coffee and coffee substitutes
Coffee Store,Food Retail,Consumer Goods & Services,56102,Unlicenced restaurants and cafes
Coffee Vending,Vending & Workplace Solutions,Consumer Goods & Services,56290,Other food services
Coffin Manufacturers,Machinery & Manufacturing Services,Manufacturing & Industrials,16230,Manufacture of other builders' carpentry and joinery
Coin Investment,Capital Markets,Financial Services,64991,Security dealing on own account
Coins,Capital Markets,Financial Services,32110,Striking of coins
Coins & Medals,Specialty Retail,Retail,47791,Retail sale of antiques including antique books in stores
Cold Chain Monitoring,Logistics & Transportation,Information Technology,62090,Other information technology service activities
Collector Car Valuation,Valuation Services,Professional Services,66290,Other activities auxiliary to insurance and pension funding
Collectors' Items,Specialty Retail,Retail,47791,Retail sale of antiques including antique books in stores
Colonic Hydrotherapy,Health Care Providers & Services,Healthcare,86900,Other human health activities
Colorings,Chemical Products & Chemicals,Construction & Materials,20120,Manufacture of dyes and pigments
Colostrum Replacers,Agriculture,Agriculture & Farming,10910,Manufacture of prepared feeds for farm animals
Colour Manufacturers & Suppliers,Chemical Products & Chemicals,Construction & Materials,20120,Manufacture of dyes and pigments
Combat Games/Fighting Games,Entertainment Services,"Media, Publishing & Entertainment",93290,Other amusement and recreation activities n.e.c.
Comics & Magazine Suppliers,Books & Media,"Media, Publishing & Entertainment",47610,Retail sale of books in specialised stores
Commercial Catering Appliances & Refitting,Industrial Equipment & Supplies,Retail,46690,Wholesale of other machinery and equipment
Commercial Cleaning,Commercial Cleaning Services,Professional Services,81210,General cleaning of buildings
Commercial Cleaning Services,Commercial Cleaning Services,Professional Services,81210,General cleaning of buildings
Commercial Coffee Machines,Food Service Equipment,Manufacturing & Industrials,46690,Wholesale of other machinery and equipment
Commercial Decorators,Architectural Services,Construction & Materials,43390,Other building completion and finishing
Commercial Energy Assessors,Energy Consulting & Services,Utilities & Energy,71200,Technical testing and analysis
Commercial Grade Catering Fabrication,Food Service Equipment,Manufacturing & Industrials,28930,"Manufacture of machinery for food, beverage and tobacco processing"
Commercial Kitchens,Construction & Engineering,Construction & Materials,41201,Construction of commercial buildings
"Commercial Photographer, Advertising Photography",Photography,"Media, Publishing & Entertainment",74201,Portrait photographic activities
Commercial Poultry,Agriculture,Agriculture & Farming,01470,Raising of poultry
Commercial Property,Real Estate,Real Estate,68100,Buying and selling of own real estate
Commercial Property Agents,Real Estate,Real Estate,68310,Real estate agencies
Commercial Recruitment,Human Resources & Employment Services,Professional Services,78109,Other activities of employment placement agencies
Commercial Refrigeration,Mechanical Engineering,Manufacturing & Industrials,28250,Manufacture of non-domestic cooling and ventilation equipment
Commercial Schools & Colleges,Education Services,Education,85590,Other education n.e.c.
Commercial Truck Components,Auto Components,Automotive,29320,Manufacture of other parts and accessories for motor vehicles
Commercial Vehicle Bodybuilders & Repairers,Automobiles,Automotive,29201,Manufacture of bodies (coachwork) for motor vehicles (except caravans)
Commercial Vehicle Breakdown & Recovery Services,Automotive Services,Consumer Goods & Services,45200,Maintenance and repair of motor vehicles
Commercial Vehicle Component Manufacturers,Auto Components,Automotive,29320,Manufacture of other parts and accessories for motor vehicles
Commercial Vehicle Dealers,Automobiles,Automotive,45190,Sale of other motor vehicles
Commercial Vehicle Security And Alarms,Security Services & Equipment,Professional Services,80200,Security systems service activities
"Commercial Vehicle Servicing, Repairs, Parts & Accessories",Automotive Services,Consumer Goods & Services,45200,Maintenance and repair of motor vehicles
Commissioning Support,Consulting Services,Professional Services,82990,Other business support service activities n.e.c.
Committees And Panels,Civic & Social Organizations,Public Sector & Government,84110,General public administration activities
Commodity Brokers/Stock Brokers,Capital Markets,Financial Services,66120,Security and commodity contracts dealing activities
Common Carrier,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road
Communications Equipment Manufacturing,Communication Services & Equipment,Manufacturing & Industrials,26309,"Manufacture of communication equipment other than telegraph, and telephone apparatus and equipment"
Community Business,Civic & Social Organizations,Public Sector & Government,88990,Other social work activities without accommodation n.e.c.
Community Centres,Civic & Social Organizations,Public Sector & Government,88990,Other social work activities without accommodation n.e.c.
Community Development,Civic & Social Organizations,Public Sector & Government,94990,Activities of other membership organisations n.e.c.
Community Energy,Renewable Energy,Utilities & Energy,35110,Production of electricity
Community Engagement,Civic & Social Organizations,Public Sector & Government,94990,Activities of other membership organisations n.e.c.
Community Health Centre,Health Care Providers & Services,Healthcare,86101,Hospital activities
Community Networks,Telecommunication Services & Engineering,Telecommunications,61100,Wired telecommunications activities
Community Service Projects,Civic & Social Organizations,Public Sector & Government,88990,Other social work activities without accommodation n.e.c.
Companion Animal Health,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities
Company Formations,Business Services,Professional Services,82990,Other business support service activities n.e.c.
Company Registration Agents,Business Services,Professional Services,82110,Combined office administrative service activities
Comparison Websites,Online & Digital Services,Information Technology,63120,Web portals
Compensation Claims,Legal Services,Professional Services,69109,Activities of patent and copyright agents; other legal activities n.e.c.
Competent Person Service,Professional & Commercial Services,Professional Services,74909,"Other professional, scientific and technical activities n.e.c."
Complaint Management,Business Support Services,Professional Services,82990,Other business support service activities n.e.c.
Complementary And Alternative Medicine (CAM),Health Care Providers & Services,Healthcare,86900,Other human health activities
Complex Trauma Rehabilitation,Health Care Providers & Services,Healthcare,86900,Other human health activities
Compliance Management System,Software Development & Services,Information Technology,70229,Management consultancy activities other than financial management
Component Design,Design Services & Engineering,Professional Services,71129,Other engineering activities
Compostable Packaging,Packaging & Paper Products,Manufacturing & Industrials,22220,Manufacture of plastic packing goods
Comprehensive Manufacturing Capability,Machinery & Manufacturing Services,Manufacturing & Industrials,28990,Manufacture of other special-purpose machinery n.e.c.
Computer & Electronics Recycling And Disposal,Recycling & Waste Management,Manufacturing & Industrials,38120,Collection of hazardous waste
Computer & Telephone Cleaning Services,Commercial Cleaning Services,Professional Services,81299,Other cleaning services
Computer Aided Design,Software Development & Services,Information Technology,62090,Other information technology service activities
Computer and Network Security,Information Technology (IT),Information Technology,62020,Information technology consultancy activities
Computer Bureau & Facilities Management,IT Services & Support,Information Technology,62030,Computer facilities management activities
Computer Consultants,IT Services & Support,Information Technology,62020,Information technology consultancy activities
Computer Consumables & Stationery,Office Equipment,Retail,47620,Retail sale of newspapers and stationery in specialised stores
Computer Games,Software Development & Services,Information Technology,58210,Publishing of computer games
Computer Hardware Manufacturing,Technology Hardware & Peripherals,Manufacturing & Industrials,26200,Manufacture of computers and peripheral equipment
Computer Networking & Cabling,IT Services & Support,Information Technology,61100,Wired telecommunications activities
Computer Products,Technology Hardware & Peripherals,Manufacturing & Industrials,46510,"Wholesale of computers, computer peripheral equipment and software"
Computer Rental,Equipment Rental,Manufacturing & Industrials,77291,Renting and leasing of media entertainment equipment
Computer Repair & Maintenance Services,IT Services & Support,Information Technology,95110,Repair of computers and peripheral equipment
Computer Security,Information Technology (IT),Information Technology,62020,Information technology consultancy activities
Computer Support & Services,IT Services & Support,Information Technology,62090,Other information technology service activities
Computer Systems & Software (Development),Software Development & Services,Information Technology,62012,Business and domestic software development
Computer Systems & Software (Sales),Technology Hardware & Peripherals,Information Technology,47410,"Retail sale of computers, peripheral units and software in specialised stores"
Computer Training,Education Services,Education,62020,Information technology consultancy activities
Concert Halls,Entertainment Services,"Media, Publishing & Entertainment",90040,Operation of arts facilities
Concert Organisers,Events Management,Professional Services,90020,Support activities to performing arts
Concierge Services,Hospitality Management & Services,Hospitality,96090,Other service activities n.e.c.
Concrete & Mortar Ready Mixed,Building Materials & Products,Construction & Materials,23630,Manufacture of ready-mixed concrete
Concrete Contractors,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.
Concrete Floor Supplies,Building Materials & Products,Construction & Materials,23610,Manufacture of concrete products for construction purposes
Concrete Manufacturers & Distributors,Building Materials & Products,Manufacturing & Industrials,23610,Manufacture of concrete products for construction purposes
Concrete Products,Building Materials & Products,Manufacturing & Industrials,23610,Manufacture of concrete products for construction purposes
Concrete Pumping Services,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.
Concrete Reinforcements,Building Materials & Products,Construction & Materials,42990,Construction of other civil engineering projects n.e.c.
Concrete Repair & Maintenance Services,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.
Condensation Control,Construction Services,Construction & Materials,43290,Other construction installation
Confectionery & Retail,Food Retail,Consumer Goods & Services,47240,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores"
Mouth Fresheners,Confectionery,Manufacturing & Industrials,10840,Manufacture of condiments and seasonings
Conference Centers,Events Management,Professional Services,82302,Activities of conference organisers
Conference Management Services,Events Management,Professional Services,82302,Activities of conference organisers
Conservation Organisations,Civic & Social Organizations,Public Sector & Government,94990,Activities of other membership organisations n.e.c.
Conservatory Repairs,Specialized Consumer Services,Consumer Goods & Services,43999,Other specialised construction activities n.e.c.
Construction Contractors/Builders,Construction & Engineering,Construction & Materials,41202,Construction of domestic buildings
Construction Design And Management Coordinator,Construction & Engineering,Construction & Materials,71111,Architectural activities
Consular Services,Government Services,Public Sector & Government,84110,General public administration activities
Consultancy,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Consumer Advice,Consulting Services,Professional Services,82990,Other business support service activities n.e.c.
Consumer Electronics Retail,Electronics Retail,Retail,46499,Wholesale of household goods (other than musical instruments) n.e.c
Consumer Goods,Consumer Goods,Consumer Goods & Services,46900,Non-specialised wholesale trade
Consumer Internet,Online & Digital Services,Information Technology,61100,Wired telecommunications activities
Consumer Organisations,Civic & Social Organizations,Public Sector & Government,94990,Activities of other membership organisations n.e.c.
Consumer Packaged Goods,Consumer Goods,Consumer Goods & Services,10890,Manufacture of other food products n.e.c.
Consumer Product Reviews,Market Research,Marketing & Advertising,73200,Market research and public opinion polling
Container Manufacturers,Packaging & Paper Products,Manufacturing & Industrials,22220,Manufacture of plastic packing goods
Container Rental,Equipment Rental,Manufacturing & Industrials,77390,"Renting and leasing of other machinery, equipment and tangible goods n.e.c."
Container Repositioning,Shipping & Marine Transportation,Transportation & Logistics,52101,Operation of warehousing and storage facilities for water transport activities
Container Sales,Industrial Equipment & Supplies,Retail,46690,Wholesale of other machinery and equipment
Container Shipping,Shipping & Marine Transportation,Transportation & Logistics,50200,Sea and coastal freight water transport
Contaminated Land Remediation,Environmental Engineering & Services,Manufacturing & Industrials,74901,Environmental consulting activities
Content Management,Software Development & Services,Information Technology,62012,Business and domestic software development
Contract Distilling,Food & Beverage Industry,Consumer Goods & Services,11010,"Distilling, rectifying and blending of spirits"
Contract Distribution,Logistics & Transportation,Transportation & Logistics,52103,Operation of warehousing and storage facilities for land transport activities
Contract Furnishers/Interior Designer,Interior Design,Professional Services,74100,Specialised design activities
Contract Manufacturing,Machinery & Manufacturing Services,Manufacturing & Industrials,32990,Other manufacturing n.e.c.
Contract Packaging,Packaging & Paper Products,Manufacturing & Industrials,82920,Packaging activities
Contract Packing,Packaging & Paper Products,Manufacturing & Industrials,82920,Packaging activities
Contract Signing,Legal Services,Professional Services,69102,Solicitors
Control Measures,Professional & Commercial Services,Professional Services,74909,"Other professional, scientific and technical activities n.e.c."
Control Panel,Electrical Equipment & Goods,Manufacturing & Industrials,26512,Manufacture of electronic industrial process control equipment
Control System Equipment,Industrial Equipment & Supplies,Manufacturing & Industrials,26512,Manufacture of electronic industrial process control equipment
Control Valve Servicing,Industrial Equipment & Supplies,Manufacturing & Industrials,33120,Repair of machinery
Convenience Stores,General Retail & Services,Retail,47110,"Retail sale in non-specialised stores with food, beverages or tobacco predominating"
Converting Machinery Manufacturer,Industrial Equipment & Supplies,Manufacturing & Industrials,28950,Manufacture of machinery for paper and paperboard production
Conveyancing Services,Legal Services,Professional Services,69102,Solicitors
Conveyors & Conveyor Belts,Industrial Equipment & Supplies,Manufacturing & Industrials,28220,Manufacture of lifting and handling equipment
Convoyeurs Palettes,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road
Cookery & Culinary Schools,Hospitality Management & Services,Hospitality,85590,Other education n.e.c.
Cookery Classes,Hospitality Management & Services,Hospitality,85590,Other education n.e.c.
Cooking Instruction,Hospitality Management & Services,Hospitality,85590,Other education n.e.c.
Cool/Cold Storage,Warehousing,Transportation & Logistics,52103,Operation of warehousing and storage facilities for land transport activities
Cooling Tunnels,Industrial Equipment & Supplies,Manufacturing & Industrials,28250,Manufacture of non-domestic cooling and ventilation equipment
Copacking,Packaging & Paper Products,Manufacturing & Industrials,82920,Packaging activities
Copying & Duplicating Machines & Supplies,Office Equipment,Retail,46660,Wholesale of other office machinery and equipment
Copying & Duplicating Services,Printing Services & Engineering,Manufacturing & Industrials,18130,Pre-press and pre-media services
Copyright Agents,Legal Services,Professional Services,69109,Activities of patent and copyright agents; other legal activities n.e.c.
Cork Products,Machinery & Manufacturing Services,Manufacturing & Industrials,16290,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
Corporate Communications,Professional & Commercial Services,Professional Services,70210,Public relations and communications activities
Corporate Entertainment Agency,Events Management,Professional Services,82302,Activities of conference organisers
Corporate Events,Events Management,Professional Services,82302,Activities of conference organisers
Corporate Food Service,Hospitality Management & Services,Hospitality,56290,Other food services
Corporate Hospitality,Hospitality Management & Services,Hospitality,82302,Activities of conference organisers
Corporate Insolvency,Legal Services,Professional Services,82911,Activities of collection agencies
Corporate IT,IT Services & Support,Information Technology,62020,Information technology consultancy activities
Corporate Meeting,Events Management,Professional Services,82302,Activities of conference organisers
Corporate Reorganisations & Restructures,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Corporate Secretary,Secretarial & Administrative Services,Professional Services,82110,Combined office administrative service activities
Corporate Team Building,Education Services,Professional Services,85590,Other education n.e.c.
Corporate Volunteering,Civic & Social Organizations,Public Sector & Government,96090,Other service activities n.e.c.
Corporatewear,Apparel,Consumer Goods & Services,14120,Manufacture of workwear
Correspondence/Distance Learning Schools,Education Services,Education,85590,Other education n.e.c.
Corrosion Prevention And Control (CPC),Corrosion Engineering,Manufacturing & Industrials,25610,Treatment and coating of metals
Cosmetic Dentistry,Health Care Providers & Services,Healthcare,86230,Dental practice activities
Premium Winegums & Vegan Winegums,Confectionery,Manufacturing & Industrials,10822,Manufacture of sugar confectionery
Cosmetic Surgery,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities
Cosmique Shop,Personal Care & Services,Consumer Goods & Services,47750,Retail sale of cosmetic and toilet articles in specialised stores
Costume Jewellery,Jewelry,Retail,32130,Manufacture of imitation jewellery and related articles
Costume Rental Service,Equipment Rental,Consumer Goods & Services,77299,Renting and leasing of other personal and household goods
Cottage,Hospitality Management & Services,Hospitality,55900,Other accommodation
Cottage rental,Hospitality Management & Services,Hospitality,55209,Other holiday and other collective accommodation
Counselling & Advice,Health Care Providers & Services,Healthcare,86900,Other human health activities
Counterbalance,Material Handling Equipment & Systems,Manufacturing & Industrials,28220,Manufacture of lifting and handling equipment
Country Health Clubs,Hospitality Management & Services,Hospitality,93130,Fitness facilities
Courier,Logistics & Transportation,Transportation & Logistics,53201,Licensed carriers
Courier Exchange,Logistics & Transportation,Transportation & Logistics,53202,Unlicensed carriers
Courier Services,Logistics & Transportation,Transportation & Logistics,53202,Unlicensed carriers
Courts,Administration of Justice,Public Sector & Government,84230,Justice and judicial activities
CPD Courses,Education Services,Professional Services,85410,Post-secondary non-tertiary education
Craft Centres & Shops,Art & Craft,"Media, Publishing & Entertainment",90030,Artistic creation
"Crane Hire, Sales & Service",Equipment Rental,Manufacturing & Industrials,77320,Renting and leasing of construction and civil engineering machinery and equipment
Crane Manufacturers,Industrial Equipment & Supplies,Manufacturing & Industrials,28220,Manufacture of lifting and handling equipment
Credit & Finance Companies,Consumer Finance,Financial Services,64929,Other credit granting n.e.c.
Credit Cards & Discount Cards,Consumer Finance,Financial Services,64929,Other credit granting n.e.c.
Credit Institutions - Business & Personal,Consumer Finance,Financial Services,64999,Financial intermediation not elsewhere classified
Credit Reference Agencies,Financial Services,Financial Services,82911,Activities of collection agencies
Credit Unions,Banks,Financial Services,64929,Other credit granting n.e.c.
Cremation & Funeral Services,Specialized Consumer Services,Consumer Goods & Services,96030,Funeral and related activities
Creperie,"Hotels, Restaurants & Leisure",Hospitality,56102,Unlicenced restaurants and cafes
Critical Care,Health Care Providers & Services,Healthcare,86101,Hospital activities
Crockery,Building Materials & Products,Manufacturing & Industrials,23410,Manufacture of ceramic household and ornamental articles
Cruise Lines,Travel & Leisure,Hospitality,50100,Sea and coastal passenger water transport
Crushing Plants,Industrial Equipment & Supplies,Manufacturing & Industrials,28923,Manufacture of equipment for concrete crushing and screening and roadworks
Currency Exchange Service,Financial Services,Financial Services,66110,Administration of financial markets
Curtain & Blind Fittings,Home Goods,Retail,13921,Manufacture of soft furnishings
Curtain Walling System,Construction & Engineering,Construction & Materials,43342,Glazing
Custom Clearance Agents,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities
Custom IT Systems,Software Development & Services,Information Technology,62020,Information technology consultancy activities
Custom Software,Software Development & Services,Information Technology,62012,Business and domestic software development
Custom Solutions,Business Support Services,Professional Services,62090,Other information technology service activities
Custom T-shirt Store,Apparel,Consumer Goods & Services,47710,Retail sale of clothing in specialised stores
Customer Reviews,Market Research,Marketing & Advertising,73200,Market research and public opinion polling
Customer Service,Business Support Services,Professional Services,82990,Other business support service activities n.e.c.
Customs & Excise,Public Sector & Government,Public Sector & Government,84220,Defence activities
Customs Brokerage,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities
Customs Brokers,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities
Customs Clearance & Forwarding,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities
Customs Compliance Auditing,Compliance Services & Software,Professional Services,69201,Accounting and auditing activities
Customs Declarations,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities
Customs Formalities,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities
Customs Processing,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities
Cutlery Manufacturers,Household Goods & Services,Manufacturing & Industrials,25710,Manufacture of cutlery
Cutting Services,Industrial Equipment & Supplies,Manufacturing & Industrials,25620,Machining
Cutting Tools & Machinery,Industrial Equipment & Supplies,Manufacturing & Industrials,28410,Manufacture of metal forming machinery
CV Services,Human Resources & Employment Services,Professional Services,78109,Other activities of employment placement agencies
Cycle Shops,Specialty Retail,Retail,47640,"Retail sale of sports goods, fishing gear, camping goods, boats and bicycles"
Cycles - Renting & Leasing,Equipment Rental,Consumer Goods & Services,77210,Renting and leasing of recreational and sports goods
Cycling,Travel & Leisure,Hospitality,93199,Other sports activities
Cycling Hardware,Sporting Goods,Consumer Goods & Services,30920,Manufacture of bicycles and invalid carriages
Cycling Professional Services,Education Services,Education,85510,Sports and recreation education
Cytology,Laboratory Services,Healthcare,86900,Other human health activities
Production & Distribution Of Confectionery,Confectionery,Manufacturing & Industrials,10822,Manufacture of sugar confectionery
Promotional Confectionery,Confectionery,Manufacturing & Industrials,10822,Manufacture of sugar confectionery
Dairy Equipment Suppliers,Food Service Equipment,Manufacturing & Industrials,28930,"Manufacture of machinery for food, beverage and tobacco processing"
Dairy Farmers,Agriculture,Agriculture & Farming,01410,Raising of dairy cattle
Dairy Produce Merchants,Food & Beverage Industry,Consumer Goods & Services,47290,Other retail sale of food in specialised stores
Abattoirs/Slaughterhouse,Food & Beverage Industry,Manufacturing & Industrials,10110,Processing and preserving of meat
Artisan Foods,Food & Beverage Industry,Manufacturing & Industrials,10890,Manufacture of other food products n.e.c.
Damp Course Manufacturers,Building Materials & Products,Construction & Materials,41202,Construction of domestic buildings
Dance & Balletwear,Apparel,Consumer Goods & Services,14132,Manufacture of other women's outerwear
Dance Academy,Education Services,Education,85520,Cultural education
Dance Companies,Entertainment Services,"Media, Publishing & Entertainment",90010,Performing arts
Data & Cloud Storage,Cloud Services,Information Technology,63110,"Data processing, hosting and related activities"
Data Center Infrastructure,Information Technology (IT),Information Technology,62090,Other information technology service activities
Data Communication And Network,Telecommunication Services & Engineering,Telecommunications,61100,Wired telecommunications activities
Data Disposal Service,IT Services & Support,Information Technology,38120,Collection of hazardous waste
Data Recovery,IT Services & Support,Information Technology,62090,Other information technology service activities
Data Security Software Products,Information Technology (IT),Information Technology,62090,Other information technology service activities
Data Shredding,IT Services & Support,Information Technology,82990,Other business support service activities n.e.c.
Database Management,IT Services & Support,Information Technology,63110,"Data processing, hosting and related activities"
Database Services,IT Services & Support,Information Technology,63110,"Data processing, hosting and related activities"
Baby Food,Food & Beverage Industry,Manufacturing & Industrials,10860,Manufacture of homogenized food preparations and dietetic food
Dating & Friendship Agencies,Specialized Consumer Services,Consumer Goods & Services,96090,Other service activities n.e.c.
Day Care Centers,Specialized Consumer Services,Consumer Goods & Services,88910,Child day-care activities
Debt Advice,Financial Advisory Services,Financial Services,82911,Activities of collection agencies
Debt Collection,Debt Collection Agencies,Financial Services,82911,Activities of collection agencies
Debt Consolidation,Consumer Finance,Financial Services,64999,Financial intermediation not elsewhere classified
Decentralization,Blockchain Services,Information Technology,62020,Information technology consultancy activities
Deck Shoes,Apparel,Consumer Goods & Services,15200,Manufacture of footwear
Decking,Construction & Engineering,Construction & Materials,16230,Manufacture of other builders' carpentry and joinery
Deconstruction & Enabling Works,Construction & Engineering,Construction & Materials,43110,Demolition
Decorators' Merchants,Building Materials & Products,Retail,47520,"Retail sale of hardware, paints and glass in specialised stores"
Deep Cleaning,Commercial Cleaning Services,Professional Services,81222,Specialised cleaning services
Defence Systems,Aerospace & Defense,Manufacturing & Industrials,30400,Manufacture of military fighting vehicles
Defense and Space Manufacturing,Aerospace & Defense,Manufacturing & Industrials,30300,Manufacture of air and spacecraft and related machinery
Dehumidifiers & Humidifiers,Mechanical Engineering,Manufacturing & Industrials,28250,Manufacture of non-domestic cooling and ventilation equipment
Delivery Services,Logistics & Transportation,Transportation & Logistics,53201,Licensed carriers
Demolition & Dismantling Contractors,Construction & Engineering,Construction & Materials,43110,Demolition
Dental Care,Health Care Providers & Services,Healthcare,86230,Dental practice activities
Dental Equipment & Supplies,Medical Devices & Services,Healthcare,32500,Manufacture of medical and dental instruments and supplies
Dental School,Education Services,Education,85590,Other education n.e.c.
Dental Technicians,Health Care Providers & Services,Healthcare,86230,Dental practice activities
Department Stores,General Retail & Services,Retail,47190,Other retail sale in non-specialised stores
Dermal Fillers,Health Care Providers & Services,Healthcare,86900,Other human health activities
Dermatology,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities
Design,Design Services & Engineering,Professional Services,74100,Specialised design activities
Design Agency,Design Services & Engineering,Professional Services,74100,Specialised design activities
Design Engineers,Design Services & Engineering,Professional Services,71121,Engineering design activities for industrial process and production
Desk Top Publishing Equipment & Services,Printing Services & Engineering,Manufacturing & Industrials,18130,Pre-press and pre-media services
Baked Goods Manufacturing,Food & Beverage Industry,Manufacturing & Industrials,10710,Manufacture of bread; manufacture of fresh pastry goods and cakes
Detroit Diesel,Auto Components,Automotive,29100,Manufacture of motor vehicles
Developer Tools,Software Development & Services,Information Technology,62090,Other information technology service activities
Development Agencies,Government Services,Public Sector & Government,84130,Regulation of and contribution to more efficient operation of businesses
DGSA Service,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities
DGSA Training,Education Services,Education,85590,Other education n.e.c.
Diagnostic Imaging,Laboratory Services,Healthcare,86900,Other human health activities
"Diamond Cutters, Polishers & Merchants",Jewelry,Manufacturing & Industrials,32120,Manufacture of jewellery and related articles
Diamond Tool Manufacturers,Industrial Equipment & Supplies,Manufacturing & Industrials,25730,Manufacture of tools
Diathermy Equipment,Medical Devices & Services,Healthcare,32500,Manufacture of medical and dental instruments and supplies
Die Casting Machine & Services,Industrial Equipment & Supplies,Manufacturing & Industrials,28490,Manufacture of other machine tools
Diesel Engine Repair & Maintenance Services,Automotive Services,Consumer Goods & Services,45200,Maintenance and repair of motor vehicles
Diesel Fuel Injection Services,"Oil, Gas & Consumable Fuels",Utilities & Energy,45200,Maintenance and repair of motor vehicles
Diesel Sideloaders,Material Handling Equipment & Systems,Manufacturing & Industrials,28110,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
