sub_industry,Industry,sector,sic_code,sic_description
Ambient Storage Service,Warehousing,Transportation & Logistics,52103,Operation of warehousing and storage facilities for land transport activities
Ambulance Services,Health Care Providers & Services,Healthcare,86900,Other human health activities
American Restaurants,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants
Amusement Machine Manufacturers,Machinery & Manufacturing Services,Manufacturing & Industrials,32409,"Manufacture of other games and toys, n.e.c."
Anaerobic Digestion,Renewable Energy,Utilities & Energy,38210,Treatment and disposal of non-hazardous waste
Analytical & Consulting Pharmacist,Pharmaceuticals,Pharmaceuticals & Biotechnology,74909,"Other professional, scientific and technical activities n.e.c."
Angling & Sports Fishing,Travel & Leisure,Hospitality,93199,Other sports activities
Animal and Bird Enclosures,Travel & Leisure,Hospitality,93290,Other amusement and recreation activities n.e.c.
Animal By-products,Agriculture,Agriculture & Farming,10110,Processing and preserving of meat
Animal Care,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities
Animal Carrier Services,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road
Animal Encounters,Travel & Leisure,Hospitality,93290,Other amusement and recreation activities n.e.c.
Animal Equipment,Veterinary Services & Supplies,Healthcare,32990,Other manufacturing n.e.c.
Animal Farming,Agriculture,Agriculture & Farming,01490,Raising of other animals
Animal Feed,Agriculture,Agriculture & Farming,10910,Manufacture of prepared feeds for farm animals
Feed Manufacturing,Agricultural Products,Manufacturing & Industrials,10910,Manufacture of prepared feeds for farm animals
Animal Health,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities
Animal Oncology & Rehabilitation,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities
Animal Rescue & Animal Welfare,Civic & Social Organizations,Public Sector & Government,96090,Other service activities n.e.c.
Animal Rights,Civic & Social Organizations,Public Sector & Government,94990,Activities of other membership organisations n.e.c.
Animal Sales,Agriculture,Agriculture & Farming,46230,Wholesale of live animals
Animal Shelter,Civic & Social Organizations,Public Sector & Government,75000,Veterinary activities
Animal Sport Medication & Doping Control,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities
Animal Training,Pet Services & Supplies,Consumer Goods & Services,96090,Other service activities n.e.c.
Animals Hydrotherapy,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities
Animation,Media Production & Services,"Media, Publishing & Entertainment",59111,Motion picture production activities
Animation Media,Media Production & Services,"Media, Publishing & Entertainment",59112,Video production activities
Animation Software & Services,Software Development & Services,Information Technology,62090,Other information technology service activities
Anodisers,Metal Fabrication,Manufacturing & Industrials,25610,Treatment and coating of metals
Antique & Vintage Furniture,Furniture,Retail,47599,"Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store"
Antique Dealers,Specialty Retail,Retail,47791,Retail sale of antiques including antique books in stores
Antique Furniture Restoration/Repair Services,Specialized Consumer Services,Consumer Goods & Services,95240,Repair of furniture and home furnishings
Apartment Letting Agency,Property Rental & Real Estate Services,Real Estate,68209,Other letting and operating of own or leased real estate
App Development,Software Development & Services,Information Technology,62012,Business and domestic software development
Apparel,Apparel,Consumer Goods & Services,14190,Manufacture of other wearing apparel and accessories n.e.c.
Apparel & Fashion,Apparel,Consumer Goods & Services,46420,Wholesale of clothing and footwear
Appliance Repair Services,Specialized Consumer Services,Consumer Goods & Services,95220,Repair of household appliances and home and garden equipment
Apprenticeship Center,Education Services,Education,85410,Post-secondary non-tertiary education
Apps,Software Development & Services,Information Technology,62090,Other information technology service activities
Aquaculture,Aquaculture,Agriculture & Farming,03220,Freshwater aquaculture
Aquarium & Vivarium Tank & Accessory Manufacturers,Pet Services & Supplies,Consumer Goods & Services,32990,Other manufacturing n.e.c.
Aquariums - Public,Travel & Leisure,Hospitality,91040,Botanical and zoological gardens and nature reserves activities
Aquatic Equipment And Accessories Store,Pet Services & Supplies,Retail,47760,"Retail sale of flowers, plants, seeds, fertilizers, pet animals and pet food in specialised stores"
Arbitrators,Legal Services,Professional Services,69109,Activities of patent and copyright agents; other legal activities n.e.c.
Arboriculture,Forestry & Logging,Agriculture & Farming,02100,Silviculture and other forestry activities
Arcade Games Amusement,Entertainment Services,"Media, Publishing & Entertainment",93210,Activities of amusement parks and theme parks
Archaeology,Professional & Commercial Services,Professional Services,72200,Research and experimental development on social sciences and humanities
Architects,Architectural Engineering,Construction & Materials,71111,Architectural activities
Architectural and Structural Metal Manufacturing,Metal Fabrication,Manufacturing & Industrials,25110,Manufacture of metal structures and parts of structures
Architectural Design,Architectural Services,Construction & Materials,71111,Architectural activities
Architectural Engineering,Engineering Services,Professional Services,71111,Architectural activities
